iter	RMSE
0	22547.71761
1	22465.71788
2	22385.05712
3	22305.71715
4	22227.67992
5	22150.92758
6	22082.74988
7	22008.385
8	21935.9765
9	21864.03579
10	21793.29508
11	21724.42436
12	21656.00758
13	21588.74078
14	21529.07381
15	21470.4323
16	21412.80093
17	21350.20391
18	21288.67299
19	21227.96739
20	21168.45397
21	21109.35549
22	21051.85476
23	20995.34458
24	20939.20072
25	20890.06133
26	20841.34505
27	20793.87714
28	20746.81351
29	20694.86197
30	20643.92929
31	20599.72195
32	20555.80435
33	20514.39953
34	20466.26107
35	20419.27867
36	20378.02458
37	20332.64108
38	20292.81933
39	20254.14915
40	20210.48313
41	20170.13218
42	20128.24029
43	20091.72654
44	20055.72768
45	20015.69737
46	19981.09957
47	19942.00324
48	19903.60965
49	19870.24887
50	19832.85087
51	19800.66855
52	19769.39028
53	19733.63249
54	19705.8837
55	19675.73699
56	19646.14477
57	19617.09761
58	19587.47181
59	19560.8565
60	19532.97084
61	19504.08627
62	19472.56502
63	19446.82842
64	19420.96662
65	19393.12889
66	19364.85188
67	19337.98647
68	19315.25627
69	19289.65209
70	19264.20574
71	19235.80505
72	19210.70888
73	19187.40895
74	19162.38677
75	19135.90424
76	19111.702
77	19087.9515
78	19065.3693
79	19040.41295
80	19018.38598
81	18997.79032
82	18973.5303
83	18949.31492
84	18927.67722
85	18906.44598
86	18888.51848
87	18868.17503
88	18847.44087
89	18827.37133
90	18809.50034
91	18788.86417
92	18766.14143
93	18745.16835
94	18724.58972
95	18704.55385
96	18685.58656
97	18667.44729
98	18647.85011
99	18626.69989
100	18609.36838
101	18591.63243
102	18574.20156
103	18557.74004
104	18540.29315
105	18526.18617
106	18509.00656
107	18489.34506
108	18470.00397
109	18453.73339
110	18435.08872
111	18419.42039
112	18403.50576
113	18388.56339
114	18372.79851
115	18354.77103
116	18340.05134
117	18325.61301
118	18308.12779
119	18293.39164
120	18278.97174
121	18265.33837
122	18251.11213
123	18237.98194
124	18224.20917
125	18210.98072
126	18197.3954
127	18184.41348
128	18171.83021
129	18159.48629
130	18146.77743
131	18133.13334
132	18120.7328
133	18108.19077
134	18095.73099
135	18083.22898
