iter	Passed	Remaining
0	26	26331
1	52	26027
2	78	25968
3	100	24966
4	125	24966
5	148	24676
6	172	24451
7	195	24185
8	218	24044
9	252	24988
10	274	24635
11	296	24400
12	319	24232
13	339	23942
14	362	23816
15	384	23655
16	407	23581
17	431	23561
18	459	23700
19	481	23569
20	508	23714
21	540	24031
22	570	24214
23	594	24172
24	617	24092
25	640	23986
26	665	23971
27	687	23850
28	711	23814
29	733	23721
30	757	23681
31	801	24243
32	831	24351
33	859	24407
34	885	24427
35	911	24395
36	949	24710
37	971	24600
38	993	24471
39	1014	24357
40	1037	24260
41	1061	24211
42	1085	24151
43	1106	24050
44	1127	23931
45	1147	23808
46	1169	23709
47	1189	23583
48	1208	23463
49	1228	23338
50	1248	23232
51	1268	23132
52	1288	23020
53	1307	22912
54	1328	22826
55	1348	22732
56	1368	22635
57	1387	22537
58	1406	22431
59	1437	22516
60	1458	22455
61	1484	22458
62	1506	22406
63	1531	22395
64	1551	22316
65	1571	22233
66	1596	22236
67	1615	22143
68	1634	22056
69	1654	21979
70	1674	21907
71	1695	21859
72	1714	21778
73	1734	21709
74	1755	21648
75	1777	21612
76	1797	21541
77	1817	21478
78	1839	21449
79	1869	21496
80	1896	21514
81	1923	21538
82	1945	21497
83	1969	21474
84	1991	21441
85	2012	21389
86	2040	21414
87	2066	21418
88	2089	21387
89	2110	21335
90	2130	21286
91	2151	21231
92	2173	21194
93	2194	21147
94	2216	21118
95	2237	21068
96	2257	21012
97	2278	20974
98	2296	20904
99	2316	20847
100	2333	20772
101	2352	20714
102	2370	20645
103	2390	20591
104	2408	20532
105	2427	20470
106	2447	20422
107	2466	20374
108	2486	20322
109	2504	20266
110	2523	20208
111	2540	20142
112	2556	20070
113	2573	20004
114	2590	19937
115	2608	19879
116	2626	19820
117	2644	19765
118	2663	19718
119	2680	19653
120	2696	19590
121	2714	19532
122	2731	19476
123	2750	19427
124	2767	19369
125	2784	19314
126	2803	19271
127	2820	19217
128	2842	19191
129	2859	19136
130	2876	19084
131	2893	19024
132	2912	18983
133	2929	18932
134	2946	18880
135	2963	18825
136	2982	18784
137	2999	18734
138	3016	18684
139	3033	18635
140	3052	18594
141	3070	18550
142	3086	18496
143	3103	18449
144	3121	18405
145	3138	18358
146	3156	18315
147	3173	18270
148	3191	18225
149	3206	18170
150	3224	18130
151	3241	18084
152	3259	18044
153	3276	17998
154	3293	17956
155	3312	17920
156	3330	17882
157	3348	17843
158	3363	17792
159	3379	17741
160	3396	17701
161	3414	17660
162	3429	17611
163	3447	17574
164	3466	17543
165	3484	17508
166	3502	17472
167	3521	17441
168	3540	17410
169	3559	17377
170	3576	17337
171	3595	17310
172	3614	17277
173	3632	17244
174	3651	17213
175	3667	17171
176	3686	17139
177	3703	17102
178	3720	17064
179	3741	17044
180	3760	17014
181	3779	16984
182	3797	16955
183	3814	16917
184	3834	16890
185	3853	16864
186	3871	16831
187	3905	16870
188	3926	16847
189	3947	16827
190	3967	16804
191	3992	16800
192	4012	16779
193	4029	16741
194	4046	16706
195	4064	16672
196	4083	16643
197	4102	16616
198	4120	16586
199	4145	16582
200	4165	16556
201	4185	16533
202	4208	16522
203	4230	16508
204	4249	16479
205	4270	16458
206	4288	16428
207	4306	16397
208	4325	16369
209	4343	16338
210	4362	16312
211	4382	16289
212	4400	16259
213	4420	16234
214	4440	16211
215	4461	16193
216	4485	16184
217	4507	16167
218	4525	16138
219	4557	16158
220	4588	16174
221	4612	16164
222	4633	16144
223	4652	16118
224	4672	16094
225	4693	16073
226	4713	16049
227	4734	16030
228	4754	16007
229	4775	15986
230	4793	15957
231	4815	15939
232	4834	15915
233	4858	15905
234	4880	15887
235	4902	15870
236	4923	15851
237	4943	15825
238	4964	15807
239	5000	15833
240	5021	15816
241	5041	15790
242	5061	15766
243	5080	15740
