iter	RMSE
0	21758.33506
1	20979.92654
2	20317.32101
3	19755.00244
4	19292.06273
5	18864.86012
6	18514.84537
7	18223.49142
8	17917.99333
9	17325.97699
10	17036.30085
11	16795.05237
12	16340.18545
13	16158.59249
14	16001.19843
15	15580.18888
16	15402.59564
17	15245.13065
18	14889.5788
19	14732.52397
20	14593.33816
21	14466.1789
22	14347.70104
23	14255.83964
24	13975.99159
25	13882.54516
26	13674.18628
27	13582.98318
28	13489.04825
29	13432.961
30	13246.76919
31	13163.35164
32	13000.45752
33	12937.45743
34	12864.76142
35	12794.89567
36	12741.52112
37	12610.02526
38	12541.17974
39	12499.26103
40	12383.24063
41	12323.99144
42	12216.63602
43	12148.10617
44	12096.78342
45	12056.10052
46	11998.43695
47	11945.24141
48	11898.30778
49	11859.1833
50	11757.53675
51	11684.54334
52	11641.21484
53	11562.45541
54	11474.38328
55	11407.65041
56	11347.98052
57	11306.06457
58	11252.76559
59	11223.00476
60	11160.69654
61	11121.59026
62	11088.8723
63	11057.53452
64	11026.29897
65	11002.60674
66	10961.00032
67	10893.01968
68	10848.08161
69	10802.66375
70	10776.20757
71	10742.05685
72	10713.93748
73	10689.56206
74	10650.61636
75	10630.08231
76	10608.49053
77	10563.95485
78	10541.4541
79	10508.46722
80	10489.65428
81	10452.69242
82	10420.12302
83	10387.76014
84	10359.11514
85	10321.38155
86	10302.10968
87	10268.93699
88	10251.26161
89	10205.49901
90	10155.54929
91	10135.14052
92	10101.67237
93	10064.21256
94	10036.86924
95	10015.57448
96	9991.9103
97	9970.442979
98	9949.349093
99	9909.389953
100	9882.102118
101	9864.210046
102	9835.883001
103	9802.967888
104	9786.189476
105	9763.809914
106	9728.452911
107	9717.343137
108	9691.649105
109	9680.057024
110	9670.592311
111	9625.599015
112	9600.75931
113	9580.257627
114	9562.655056
115	9547.958551
116	9529.88242
117	9513.475882
118	9498.228409
119	9478.034067
120	9443.767308
121	9407.110843
122	9390.663776
123	9364.353242
124	9352.468755
125	9333.257712
126	9316.322688
127	9299.296852
128	9284.956764
129	9257.568106
130	9232.041798
131	9200.485092
132	9185.661246
133	9162.946399
134	9125.297226
135	9098.645206
136	9080.536941
137	9068.045364
138	9047.085882
139	9029.221412
140	9018.3002
141	8997.220205
142	8983.089567
143	8970.473787
144	8949.078734
145	8933.363539
146	8906.557218
147	8892.212443
148	8869.289746
149	8860.197645
150	8843.427514
151	8833.634523
152	8823.213164
153	8812.699415
154	8800.97193
155	8783.607972
156	8768.402097
157	8756.233315
158	8744.643332
159	8724.628043
160	8708.371387
161	8691.780237
162	8674.707362
163	8664.76886
164	8652.001381
165	8635.462199
166	8621.214826
167	8602.060276
168	8580.656385
169	8572.938306
170	8555.709974
171	8544.567482
172	8529.110703
173	8521.982495
174	8511.662917
175	8497.140503
176	8473.671467
177	8465.618243
178	8454.856919
179	8443.811062
180	8432.305422
181	8420.199444
182	8412.418086
183	8404.470195
184	8394.846113
185	8385.135813
186	8375.932637
187	8361.230045
188	8347.21331
189	8334.810259
190	8325.98734
191	8314.213487
192	8302.374868
193	8293.100543
194	8280.698609
195	8270.908819
196	8264.497027
197	8249.63193
198	8233.376242
199	8221.29542
200	8207.603851
201	8200.285378
202	8184.811037
203	8177.919786
204	8169.965502
205	8158.25693
206	8144.30333
207	8127.250674
208	8119.058676
209	8105.704605
210	8097.816158
211	8090.445545
212	8085.075939
