iter	Passed	Remaining
0	83	83667
1	133	66467
2	177	58959
3	224	55869
4	266	52980
5	320	53160
6	394	56018
7	444	55069
8	495	54578
9	556	55089
10	601	54122
11	648	53413
12	709	53894
13	763	53761
14	843	55368
15	914	56217
16	982	56818
17	1038	56650
18	1091	56357
19	1151	56402
20	1214	56607
21	1266	56313
22	1323	56222
23	1382	56215
24	1437	56065
25	1489	55793
26	1532	55231
27	1600	55572
28	1662	55661
29	1738	56209
30	1801	56302
31	1866	56451
32	1927	56493
33	1994	56664
34	2072	57131
35	2134	57150
36	2195	57151
37	2254	57077
38	2335	57558
39	2392	57408
40	2443	57144
41	2519	57464
42	2592	57693
43	2652	57627
44	2702	57347
45	2776	57582
46	2847	57743
47	2899	57504
48	2956	57386
49	3058	58103
50	3119	58050
51	3194	58236
52	3261	58277
53	3337	58471
54	3404	58492
55	3457	58287
56	3518	58213
57	3574	58056
58	3637	58016
59	3682	57694
60	3720	57270
61	3770	57048
62	3820	56824
63	3866	56540
64	3904	56168
65	3978	56300
66	4034	56183
67	4088	56039
68	4138	55837
69	4181	55559
70	4251	55629
71	4312	55577
72	4349	55229
73	4408	55162
74	4456	54961
75	4496	54663
76	4546	54504
77	4591	54271
78	4637	54065
79	4690	53936
80	4737	53747
81	4781	53529
82	4825	53313
83	4876	53177
84	4921	52982
85	4963	52750
86	5008	52560
87	5060	52441
88	5118	52391
89	5163	52205
90	5201	51956
91	5245	51769
92	5289	51584
93	5329	51370
94	5384	51295
95	5437	51198
96	5483	51043
97	5537	50967
98	5588	50862
99	5646	50818
100	5693	50679
101	5739	50527
102	5806	50563
103	5869	50566
104	5930	50551
105	6018	50763
106	6089	50819
107	6181	51053
108	6249	51082
109	6329	51215
110	6401	51270
111	6469	51295
112	6529	51251
113	6598	51284
114	6667	51312
115	6728	51275
116	6798	51305
117	6864	51312
118	6931	51317
119	6982	51205
120	7054	51246
121	7124	51272
122	7190	51266
123	7268	51346
124	7341	51390
125	7397	51315
126	7454	51245
127	7508	51149
128	7575	51151
129	7631	51071
130	7692	51028
131	7865	51722
132	7938	51750
133	8027	51881
134	8103	51922
135	8171	51915
136	8254	51997
137	8332	52049
138	8407	52077
139	8491	52159
140	8549	52084
141	8623	52102
142	8695	52110
143	8763	52092
144	8821	52013
145	8877	51928
146	8928	51808
147	8977	51679
148	9019	51511
149	9084	51476
150	9131	51342
151	9182	51230
152	9238	51142
153	9300	51092
154	9354	50999
155	9400	50858
156	9449	50736
157	9498	50619
158	9549	50512
159	9593	50366
160	9649	50284
161	9714	50252
162	9781	50229
163	9862	50273
164	9909	50150
165	9974	50113
166	10028	50024
167	10073	49887
168	10113	49731
169	10156	49586
170	10195	49429
171	10240	49296
